Project Name,Package Name,Type Name,Design Smell,Justification,Cause of the Smell,,
Group01,com.group1.ecocredit,AdminControllerTests,Unutilized Abstraction,This is a test class,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
Group01,com.group1.ecocredit,EcocreditApplication,Unutilized Abstraction,This is the driver class that runs the application,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
Group01,com.group1.ecocredit.dto,PickupWaste,Unnecessary Abstraction,This is a DTO class,The tool detected the smell in this class because the class contains only a few data members without any method implementation,,that indicates that the abstraction might not be required. Following fields are declared in this class: category; weight
Group01,com.group1.ecocredit.dto,PickupWaste,Unutilized Abstraction,This is a DTO class,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
Group01,com.group1.ecocredit.dto,PickupRequest,Unnecessary Abstraction,This is a DTO class,The tool detected the smell in this class because the class contains only a few data members without any method implementation,,that indicates that the abstraction might not be required. Following fields are declared in this class: dateTime; wastes
Group01,com.group1.ecocredit.dto,SignInRequest,Unnecessary Abstraction,This is a DTO class,The tool detected the smell in this class because the class contains only a few data members without any method implementation,,that indicates that the abstraction might not be required. Following fields are declared in this class: email; password
Group01,com.group1.ecocredit.dto,JwtResponseUserModel,Multifaceted Abstraction,This is a DTO class that implements Spring Security's UserDetails,The tool detected the smell in this class because the cohesion among the methods of this class is low. LCOM of this class is: 1.0,,
Group01,com.group1.ecocredit.dto,UserDetailsResponse,Broken Modularization,This is a DTO class,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; firstName; lastName; phoneNumber; email; address,,
Group01,com.group1.ecocredit.dto,SignUpRequest,Broken Modularization,This is a DTO class,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: firstName; lastName; email; password; address; street; city; province; postalCode,,
Group01,com.group1.ecocredit.dto,SignUpRequest.AddressBD,Unnecessary Abstraction,This is a DTO class,The tool detected the smell in this class because the class contains only a few data members without any method implementation,,that indicates that the abstraction might not be required. Following fields are declared in this class: street; city; province; postalCode
Group01,com.group1.ecocredit.dto,SignUpRequest.AddressBD,Unutilized Abstraction,This is a DTO class,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
Group01,com.group1.ecocredit.dto,UpdateProfileRequest,Broken Modularization,This is a DTO class,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; firstName; lastName; email; phoneNumber; address; street; city; province; postalCode; country,,
Group01,com.group1.ecocredit.dto,UpdateProfileRequest.AddressDTO,Unnecessary Abstraction,This is a DTO class,The tool detected the smell in this class because the class contains only a few data members without any method implementation,,that indicates that the abstraction might not be required. Following fields are declared in this class: street; city; province; postalCode; country
Group01,com.group1.ecocredit.dto,UpdateProfileRequest.AddressDTO,Unutilized Abstraction,This is a DTO class,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,
